date,Airport,year,month,weekday,is_weekend,season,iso_country,type,scheduled_service,latitude_deg,longitude_deg,elevation_ft,prev_arr_delay_1d,prev_arr_delay_7d,rolling_arr_delay_7d,target_delayed_15,target_delay_minutes
2022-01-18,Munich,2022,1,1,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,5.95390625,3.020965608,5.227455758142858,0,2.32093207
2022-01-18,Nice,2022,1,1,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,7.742857143,8.119791667,6.663578268571428,0,9.399747475
2022-01-18,Palma de Mallorca,2022,1,1,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,5.237111111,1.552283105,3.1875779981428574,0,4.462380952
2022-01-18,Paris Orly,2022,1,1,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,5.345856874,5.435363248,5.4273994935714285,0,7.573630137
2022-01-18,Rome Fiumicino,2022,1,1,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,4.00217803,3.192250531,4.155974290285714,0,5.684404762
2022-01-19,Barcelona,2022,1,2,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,3.525249501,6.675987362,4.873461142571428,0,2.549654577
2022-01-19,Brussels,2022,1,2,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,11.71822917,7.887757202,10.092888133428572,0,7.703947368
2022-01-19,Frankfurt,2022,1,2,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,11.20192878,9.933970856,11.930001745285713,0,8.126646403
2022-01-19,Madrid Barajas,2022,1,2,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,5.890306627,4.965022831,4.366004690571429,0,5.170340502
2022-01-19,Milan Malpensa,2022,1,2,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,9.001602564,15.80201699,11.672160692,0,7.769825708
2022-01-19,Munich,2022,1,2,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,2.32093207,5.221212121,5.127450967,0,3.374614198
2022-01-19,Nice,2022,1,2,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,9.399747475,5.651538462,6.846429098285715,0,7.012650602
2022-01-19,Palma de Mallorca,2022,1,2,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,4.462380952,0.849765258,3.603306262,0,2.68245614
2022-01-19,Paris Orly,2022,1,2,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,7.573630137,7.978587196,5.732866192,0,6.217018779
2022-01-19,Rome Fiumicino,2022,1,2,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,5.684404762,5.17059448,4.5119963232857145,0,2.530630631
2022-01-20,Barcelona,2022,1,3,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,2.549654577,5.651693405,4.283985030428571,0,5.917261905
2022-01-20,Brussels,2022,1,3,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,7.703947368,10.39220273,10.066629585714285,0,9.338478747
2022-01-20,Frankfurt,2022,1,3,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,8.126646403,9.615645311,11.671812537714287,0,10.77026897
2022-01-20,Madrid Barajas,2022,1,3,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,5.170340502,3.869001832,4.395335786428571,0,4.296059783
2022-01-20,Milan Malpensa,2022,1,3,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,7.769825708,10.7617357,10.524704794571429,0,11.42560241
2022-01-20,Munich,2022,1,3,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,3.374614198,3.66838843,4.863651263714286,0,6.503965054
2022-01-20,Nice,2022,1,3,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,7.012650602,6.386752137,7.040873689714286,0,9.267921147
2022-01-20,Palma de Mallorca,2022,1,3,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,2.68245614,2.706041667,3.8651192451428575,0,4.882467532
2022-01-20,Paris Orly,2022,1,3,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,6.217018779,3.936518047,5.481213561,0,5.410363248
2022-01-20,Rome Fiumicino,2022,1,3,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,2.530630631,4.224791667,4.134858630571428,0,3.945253165
2022-01-21,Barcelona,2022,1,4,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,5.917261905,4.443693694,4.321923387571428,0,3.769791667
2022-01-21,Brussels,2022,1,4,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,9.338478747,6.267261905,9.916097588142858,0,8.151175214
2022-01-21,Frankfurt,2022,1,4,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,10.77026897,12.03819797,11.836758774714285,0,11.3806563
2022-01-21,Madrid Barajas,2022,1,4,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.296059783,2.714112228,4.456344065142857,0,5.778043661
2022-01-21,Milan Malpensa,2022,1,4,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,11.42560241,11.23120063,10.619542896,0,9.088430421
2022-01-21,Munich,2022,1,4,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,6.503965054,5.400877193,5.268733638571429,0,8.535416667
2022-01-21,Nice,2022,1,4,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,9.267921147,8.622429907,7.452469262571428,0,7.96446281
2022-01-21,Palma de Mallorca,2022,1,4,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,4.882467532,4.188011696,4.176037225857143,0,3.53969697
2022-01-21,Paris Orly,2022,1,4,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,5.410363248,4.23537037,5.691762875428572,0,5.631658291
2022-01-21,Rome Fiumicino,2022,1,4,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,3.945253165,4.00525,4.094924558857143,0,4.978522337
